'	lex112884.1_ἒ
'ἐπιμύει	
(132)	
(Hrd	
(Men	
(St	
(abbrev	
(abbreviation)	
(cf	
(fr	(p	
(sc	
(symbol)	
(Β	
(Γ	
(Ι	
(Ξ	
(πό)λις	
(τ	
(χ	392)	
393)	
395-19	
395-7	
399-4	
42-6	
44)	
455-12	
46-7	
460-1	Εὐρύπυλον	lex2229.1_Εὐρύπυλος
Εὐρύπυλος	lex2229.1_Εὐρύπυλος
Εὐρύτου	lex2332.1_Εὔρυτος
Εὐρώπης	lex2237.1_Εὐρώπης lex2236.1_Εὐρώπη
Εὐρώπῃ	lex2237.1_Εὐρώπης lex2236.1_Εὐρώπη
Εὐρύαλος	lex2217.1_Εὐρύαλος
Εὐρώπης	lex2236.1_Εὐρώπη lex2237.1_Εὐρώπης
Εὐτέρπης	lex2247.1_Εὐτέρπη
Εὐτερπης	
Εὐφορίων	lex2267.1_Εὐφορίωνθιτί	
θλάσσε	lex28392.1_θλάω
θμοβ	
θν	
θνέσκω	
θνήσκοντες	lex28406.1_θνήσκω
θνησιμαίων	lex28409.1_θνησιμαῖος
θνησκόντων	lex28406.1_θνήσκω
θνηταῖς	lex28414.1_θνητός
θνητογαμίαν	lex28411.1_θνητογαμίαθνητοὺς	lex28414.1_θνητός
θνητοῦ	lex28414.1_θνητός
θνητὰς	lex28414.1_θνητός
θνητὸν	lex28414.1_θνητός
θνητῶν	lex28414.1_θνητός
θνητῷ	lex28414.1_θνητός
θνήσκει	lex28406.1_θνήσκω
θνήσκουσιν	lex28406.1_θνήσκω
θοαὶ	lex28471.1_θοός
θολός	lex28445.1_θολόςθοοὶ	lex28471.1_θοός lex28472.1_θοόω
θορυβώδης	lex28461.1_θορυβώδης
θορυβῶδες	lex28461.1_θορυβώδης
θορύβω	lex29063.1_θόρυβος
θορύβῳ	lex29063.1_θόρυβος
θορὸν	lex28725.1_θρῴσκω lex28463.1_θορός
θορύβου	lex29063.1_θόρυβος
θορὼν	lex28725.1_θρῴσκω
θος	
θουν	θουσιαστοῦ	
θοὰς	lex28419.1_θοάς lex28471.1_θοός
θοῇ	lex28418.1_θοάζω lex28471.1_θοός
θοῦρος	lex28479.1_θοῦρος
θοῶς	lex28472.1_θοόω lex28471.1_θοός
θράκην	
θράσος	lex28484.1_θράσος
θρέμμα	lex28489.1_θρέμμα
θρέμμασιν	lex28489.1_θρέμμα
θρέμματ	θρέμματα	lex28489.1_θρέμμα
θρέψασα	lex75063.1_τρέφω
θρέψασαι	lex75063.1_τρέφω
θρήνοις	lex28718.1_θρῆνος
θρήνου	lex28718.1_θρῆνος
θρήνῳ	lex28718.1_θρῆνος
θρακίων	
θρακικον	
θρασεῖς	lex28481.1_θράζω lex28555.1_θρασύς
θρασος	θρασυκάρδ	
θρασυκάρδιος	lex28532.1_θρασυκάρδιος
θρασύς	lex28555.1_θρασύς
θρασέως	lex28555.1_θρασύς
θρασὺ	lex28555.1_θρασύς
θρασὺν	lex28555.1_θρασύς
θρασὺς	lex28555.1_θρασύς
θραύουσα	lex28570.1_θραύω
θρεμμάτων	lex28489.1_θρέμμα
θρεμμάτων	lex28489.1_θρέμμαθρεπτρα	
θρεπτήρια	lex28583.1_θρεπτήριος
θρεψάσης	lex75063.1_τρέφω
θρεψάσῃ	lex75063.1_τρέφω
θρη̈ξίν	
θρηνήσει	lex28591.1_θρηνέω
θρηνεῖ	lex28591.1_θρηνέω
θρηνεῖν	lex28591.1_θρηνέω
θρηνητικά	lex28600.1_θρηνητικός
θρηνουσαι	θρηνώδους	lex28604.1_θρηνώδης
θρηνῶν	lex28591.1_θρηνέω
θρησὶ	
θριξὶ	lex28509.1_θρίξ
θροσμοῦ	
θροσμῷ	
θροῦν	lex28496.1_θρέω lex28698.1_θρόος
θρυώδη	lex28688.1_θρυώδης
θρωσμὸς	lex28690.1_θρωσμός
θρωσμῷ	lex28690.1_θρωσμόςθρόνου	lex28696.1_θρόνος lex28695.1_θρόνον
θρόνῳ	lex28696.1_θρόνος lex28695.1_θρόνον
θρόος	lex28698.1_θρόος
θρώσκει	lex28725.1_θρῴσκω
θρέπτα	
θρέψας	lex75063.1_τρέφω
θρᾴκης	
θρῆνον	lex28718.1_θρῆνος
