'	exclamation	lex112884.1_ἒ
+ἀνακεφαλαίωσις	noun	lex88147.1_ἀνακεφαλαίωσις
Kαρῶν	verb	lex31428.1_καρόω
Kαρῶν	noun	lex29356.1_κάρ
Kαρῶν	noun	lex29357.1_κάρα
Kαρῶν	noun	lex31436.1_καρώ
Tυραννίων	verb	lex76499.1_τυραννεύω
Tυραννίων	verb	lex76503.1_τυραννιάω
Xείρων	adjective	lex80380.1_χείρων
Xείρων	verb	lex80581.1_χειρόω
oὕτως	adverb	lex49931.1_οὕτως
¨ἰάχοντος	verb	lex115986.1_ἰάχω
¨ἰάχουσα	verb	lex115986.1_ἰάχω
¨ἵσας	verb	lex117777.1_ἵζω
Άδου	noun	lex11593.1_άδος
ΐδιον	noun	lex11597.1_ίδιον
ΐθι	verb	lex24364.1_εἶμι
ΐμεν	verb	lex24364.1_εἶμι
Αθηναίοις	adjective	_Αθηναῖος
Αθηναίοις	adjective	_Αθηναῖος
Αθηναῖοι	adjective	_Αθηναῖος
Ασίας	noun	lex11606.1_ασία
Αφροδίτην	noun	_Αφροδίτης
Αφροδίτην	noun	_Αφροδίτης
Αφροδίτης	noun	_Αφροδίτης
Αἰακίδην	noun	lex17.1_Αἰακίδης
Αἰακοῦ	noun	lex18.1_Αἰακός
Αἰακὸν	noun	lex18.1_Αἰακός
Αἰακῶν	noun	lex13.1_Αἰάκης
Αἰγέα	noun	lex33.1_Αἰγίς
Αἰγέα	noun	lex42.1_Αἰγεύς
Αἰγέα	adjective	lex12222.1_αἴγεος
Αἰγίσθου	noun	lex185.1_Αἴγισθος
Αἰγίσθω	noun	lex185.1_Αἴγισθος
Αἰγίσθῳ	noun	lex185.1_Αἴγισθος
Αἰγαίωνα	noun	lex36.1_Αἰγαίων
Αἰγαῖον	adjective	lex37.1_Αἰγαῖος
Αἰγεῖ	noun	lex33.1_Αἰγίς
Αἰγεῖ	noun	lex42.1_Αἰγεύς
Αἰγιάλειαν	noun	lex45.1_Αἰγιάλεια
Αἰγιαλός	noun	lex49.1_Αἰγιαλός
Αἰγυπτίων	verb	lex70.1_Αἰγυπτιόω
Αἰγυπτίων	adjective	lex76.1_Αἰγύπτιος
Αἰγυπτίων	verb	lex70.1_Αἰγυπτιόω
Αἰγυπτίων	adjective	lex76.1_Αἰγύπτιος
Αἰγύπτια	adjective	lex76.1_Αἰγύπτιος
Αἰγύπτου	noun	lex188.1_Αἴγυπτος
Αἰγύπτῳ	noun	lex188.1_Αἴγυπτος
Αἰγίσθου	noun	lex185.1_Αἴγισθος
Αἰγύπτιοι	adjective	lex76.1_Αἰγύπτιος
Αἰγύπτου	noun	lex188.1_Αἴγυπτος
Αἰδοῦς	noun	lex11731.1_αἰδώ
Αἰδοῦς	noun	lex11732.1_αἰδώς
Αἰθίοπας	noun	lex84.1_Αἰθίοψ
Αἰθίοπες	noun	lex84.1_Αἰθίοψ
Αἰθιοπίαν	noun	lex90.1_Αἰθιοπία
Αἰθιοπίαν	adjective	lex94.1_Αἰθιόπιος
Αἰθιοπῆας	noun	lex84.1_Αἰθίοψ
Αἰθιόπεσσιν	noun	lex84.1_Αἰθίοψ
Αἰνείαν	noun	lex114.1_Αἰνείας
Αἰνείαο	noun	lex114.1_Αἰνείας
Αἰνείας	noun	lex114.1_Αἰνείας
Αἰνείου	noun	lex114.1_Αἰνείας
Αἰνείω	noun	lex114.1_Αἰνείας
Αἰνείας	noun	lex114.1_Αἰνείας
Αἰνόπαρις	noun	lex122.1_Αἰνόπαρις
Αἰνόπαρις	noun	lex11877.1_αἰνόπαρις
Αἰολίδα	noun	lex125.1_Αἰολίδης
Αἰολίδα	noun	lex127.1_Αἰολίς
Αἰολίδα	noun	lex129.1_Αἰολεύς
Αἰολίδη	noun	lex125.1_Αἰολίδης
Αἰολεῖς	noun	lex129.1_Αἰολεύς
Αἰολική	adjective	lex130.1_Αἰολικός
Αἰολικοῦ	adjective	lex130.1_Αἰολικός
Αἰολικωτέρα	adjective	lex130.1_Αἰολικός
Αἰολικόν	adjective	lex130.1_Αἰολικός
Αἰολικὸν	adjective	lex130.1_Αἰολικός
Αἰολικὸς	adjective	lex130.1_Αἰολικός
Αἰολικῶς	adjective	lex130.1_Αἰολικός
Αἰολὶς	noun	lex127.1_Αἰολίς
Αἰολὶς	noun	lex129.1_Αἰολεύς
Αἰολίδα	noun	lex129.1_Αἰολεύς
Αἰολίδα	noun	lex127.1_Αἰολίς
Αἰολίδα	noun	lex125.1_Αἰολίδης
Αἰπύ	adjective	lex11932.1_αἰπύς
Αἰπύ	noun	lex131.1_Αἰπύ
Αἰπὺ	adjective	lex11932.1_αἰπύς
Αἰπὺ	noun	lex131.1_Αἰπύ
Αἰσήποιο	noun	lex209.1_Αἴσηπος
Αἰσχρίων	noun	lex144.1_Αἰσχρίων
Αἰσχρίωνι	noun	lex144.1_Αἰσχρίων
Αἰσχύλος	noun	lex150.1_Αἰσχύλος
Αἰσχύλῳ	noun	lex150.1_Αἰσχύλος
Αἰσχύλος	noun	lex150.1_Αἰσχύλος
Αἰσχύλῳ	noun	lex150.1_Αἰσχύλος
Αἰτίω	adjective	lex12270.1_αἴτιος
Αἰτίω	verb	lex12011.1_αἰτέω
Αἰτωλίαν	noun	lex158.1_Αἰτωλία
Αἰτωλίαν	noun	lex159.1_Αἰτωλίη
Αἰτωλίαν	adjective	lex164.1_Αἰτώλιος
Αἰτωλίας	noun	lex159.1_Αἰτωλίη
Αἰτωλίας	adjective	lex164.1_Αἰτώλιος
Αἰτωλίας	noun	lex158.1_Αἰτωλία
Αἰτωλοῖς	adjective	lex163.1_Αἰτωλός
Αἰτωλοῖς	noun	lex162.1_Αἰτωλοί
Αἰόλου	adjective	lex12073.1_αἰόλος
Αἰόλου	noun	lex205.1_Αἴολος
Αἴαντα	noun	lex175.1_Αἴας
Αἴαντας	noun	lex175.1_Αἴας
Αἴαντες	noun	lex175.1_Αἴας
Αἴαντι	noun	lex175.1_Αἴας
Αἴαντος	noun	lex175.1_Αἴας
Αἴας	noun	lex12276.1_αἶα
Αἴας	noun	lex175.1_Αἴας
Αἴας	noun	lex220.1_Αἶα
Αἴγειον	adjective	lex176.1_Αἴγειος
Αἴγιναν	noun	lex182.1_Αἴγινα
Αἴγυπτον	noun	lex188.1_Αἴγυπτος
Αἴγυπτος	noun	lex188.1_Αἴγυπτος
