urn:cts:greekLit:tlg5026.msAil.hmt:1.1047	Vector(_λιτανεύω)
urn:cts:greekLit:tlg5026.msA.hmt:6.54	Vector(_οὗτος, _πρότερος, _καλέω, _Ἱππόνοος, ·, _ἀναιρέω, lex17379.1_δέ, Βέλλερον, τον, lex3999.1_Κορίνθιος, lex22309.1_δυνάστης, lex539.1_Βελλεροφόντης, _καλέω, _ἠμί, _εἰμί, lex17379.1_δέ, _φύω, _φυσάω, _φύσις, _φύζω, μεν, _πᾶς, _παῖς, lex8194.1_Ποσειδῶν, _ἐπίκλησις, _ἐπικλάω, lex17379.1_δέ, _Γλαύκος, lex1136.1_Γλαῦκος, lex16408.1_γλαυκόω, lex16427.1_γλαῦκος, ·, λαβ, λαβων, lex17379.1_δέ, παρα, lex8194.1_Ποσειδῶν, τον, Μεδουσης, της, lex1190.1_Γοργών, lex7254.1_Πήγασος, lex56054.1_πηγάζω, πτερωτον, _ἵππος, δια, lex15537.1_γάρ, _οὗτος, _ἔχω, _καί, την, _προσηγορία, οτι, ἐκπεπηδηκει, _ἐκ, της, Γοργῶνος, _τράχηλος, _οὗτος, ἐπι, ἐλεσίνων, _τρέφω, lex4509.1_Κόρινθος, ·, lex22018.1_δράω, lex17379.1_δέ, _ἐμφύλιος, φόνον·, Βέλλερον, lex15537.1_γάρ, _τις, _ὡς, _φημί, _ὁ, _πολίτης, _ἀποκτείνω, _φεύγω, lex24000.1_εἰς, _Ἄργος, _τυγχάνω, lex17379.1_δέ, παρα, lex8360.1_Προῖτος, _κάθαρσις, _καθάρσιος, _τις, lex13726.1_βασιλεύς, μετ, αυτου, διέτριβεν·, _Ἄντεια, lex17379.1_δέ, _ὁ, Προιτου, γυνη, _ἔραμαι, _τις, Βελλεροφοντ, Βελλεροφοντου, ἑδέετο, _ὅπως, αὐτῆ, συνευνασθῆ·, _ὁ, δε, lex18493.1_δεξιόομαι, _ὁ, όσιον, _ἀντιλέγω, _ὁ, lex17379.1_δέ, _Ἄντεια, δεισασα, μη, _τῷ, _τις, _ὁ, _τίς, lex8360.1_Προῖτος, προβαλων, εξείποι, _ὁ, αὐτης, ἐρωτας, _φθάνω, _φθάζω, _ὁ, lex539.1_Βελλεροφόντης, _κατεῖπον, _ὡς, _ἄρος, _ἄρον, _ἀρά, _ἀρή, _ἄρα, lex23940.1_εἰμί, lex101906.1_ἐάω, βεβιασμ, lex13973.1_βιάζω, ·, _ὁ, lex17379.1_δέ, lex8360.1_Προῖτος, lex12955.1_αὐτόχειρ, _μέν, _οὐ, ηβουληθ, ηβουληθη, τον, Βελλεροφοντην, ἀποκτεῖναι·, _πέμπω, lex17379.1_δέ, αυτον, προς, _ὁ, πενθρον, πενθερον, Ϊοβατην, _ἀδόκητος, κατ, αυτου, κομίζ, _κομίζω, _ὁ, _τίς, lex16834.1_γράμμα, _ὁ, lex17379.1_δέ, _πολύς, αὐτον, _ἐγγυμνάζω, _ἆθλον, _ἆθλος, _ὡς, _οὐ, εῶρα, φθειόμενον, _ὑποτοπέω, την, κατ, αυτου, στρατηγθεῖσαν, δεινην, καταβολην, _τοσοῦτος, lex15537.1_γάρ, _κακάζω, _κακόω, _κακός, _κάκη, οχλον, _τῇ, _ὁ, lex23452.1_δύναμις, κατηγωνήσατο·, _δίδωμι, lex17379.1_δέ, lex12917.1_αὐτός, προς, γαμον, την, _ἴδιος, _θυγάτηρ, πασάνδραν, lex3445.1_Κασσάνδρη, _καί, της, βασιλειας, _μοῖρα, _τις, _λέγω3, _λέγω1, _λέγω2, lex17379.1_δέ, αὐτον, _ἐπαίρω, _ἐπαραρίσκω, ἐφ, _ὅς, _πράσσω, lex102547.1_ἐθέλω, μετα, _τις, Πηγασου, τον, οὐνον, οὐρανον, κατοπτευσαι, _ὁ, _τίς, lex15537.1_γάρ, _νῶτον, _ὡς, ἐφαμεν, _πτερωτός, lex113895.1_ἔχω, _ὁ, _ἵππος, _ὁ, lex17379.1_δέ, lex2415.1_Ζεύς, lex23684.1_δῖος, lex1362.1_Δίον, _μηνίζω, _μηνίω, _οἶστρος, _ἐμβάλλω, _τῷ, _τις, _ὁ, _τίς, lex7254.1_Πήγασος, _ὥστε, _ἐκπίτνω, _μέν, τον, lex539.1_Βελλεροφόντης, _καί, _καταφέρω, lex24000.1_εἰς, _ὁ, της, Λυκιας, _πεδίον, _πεδάω, _ὁ, ἀπ, αυτου, _καλέω, _ἀλήιος, _πεδίον, _πεδάω, _ἀλάομαι, lex17379.1_δέ, κατα, _οὗτος, _πηρόω, lex17379.1_δέ, τον, _ἵππος, _λαμβάνω, την, Ηῶ, lex17460.1_δέω2, _τις, _τίς, _ὁ, lex2415.1_Ζεύς, lex23689.1_δῶρον, προς, _ὁ, _ἄκοπος, πεἱέναι, _περί-ἵημι, τας, _τις, _κόσμος, περίοδους, _ὁ, lex17379.1_δέ, ἱστορι, ἱστορια, π, παρ, Ἀσκληπιαδ, Ἀσκληπιαδῃ, _εἰς, _ἐν, lex75296.1_τραγῳδέω)
urn:cts:greekLit:tlg5026.msA.hmt:15.68	Vector(περισπαστστ, _περισπαστέον, _περισπαστέον, _κατά, _δοτικός, _πτῶσις, _πτάζω, _ὅμοιος, _ὁμοῖος, _ὁμοιόω, _ἐπιθετικός, _τῷ, _τις, _ὁ, _τίς, lex27927.1_θερμάζω, lex27984.1_θερμός, _καί, lex15537.1_γάρ, _ὁμός, lex12917.1_αὐτός, lex12826.1_αὐτοῦ, _ὁ, _ἀρσενικόν, _ἀρσενικός, _ὅμοιος, _ὁμοῖος, _ὁμοιόω, κατ, οξεῖαν, _τάσις, _οὐ, lex15537.1_γάρ, _πᾶς, ῆεν, _ὁμός, _θρόος, _καί, _ὁ, _οὐδέτερος, ῆ, _μήν, _μής, _ἀμφότερος, _ὁμός, lex15587.1_γένος, _παράκειμαι, _σύ, _τε, _ὁ, _ἐπίρρημα, _ὁ, lex24000.1_εἰς, ως, _λήγω, _περισπάω, _ὡς, lex27984.1_θερμός, lex27987.1_θερμόω, _ὁμόω, _ὁμῶς, lex17379.1_δέ, _τοι, _σύ, ήπια, _οἶδα)
urn:cts:greekLit:tlg5026.msAil.hmt:1.147	Vector(οργην)
urn:cts:greekLit:tlg5026.msAil.hmt:1.362	Vector(ἑλέης, ἀδεηφή)
urn:cts:greekLit:tlg5026.msA.hmt:3.211	Vector(lex24372.1_εἶτα, ἀπο, _ἄλλος, _ἀρχή, _ἀσύνδετος, lex15537.1_γάρ, _πρός, _ὁ, _τίς, ἐπάνω·, _διό, _τέλειος, στικτέον·, _ὑποστικτέον, lex17379.1_δέ, _εἰς, _ἐν, _ὑποκρίζω, _ὑπόκρισις, _ἀνταποδοτικός, _εἰμί, _ὁ, _περίοδος, _ὑποτακτικός, lex17379.1_δέ, _τις, _τίς, _ὁ, _πρότερος, _προσερέσθαι, οι, _τις, _τίς, _ὁ, lex17379.1_δέ, lex18639.1_δεύτερος, lex18624.1_δευτερόω, _ἀντωνυμία, δηλοῦντος)
urn:cts:greekLit:tlg5026.msAil.hmt:12.F3	Vector(_ποιέω)
urn:cts:greekLit:tlg5026.msAil.hmt:1.1360	Vector(_λαμπρόπους, _πέζα, lex15537.1_γάρ, _ὁ, ποῦς)
urn:cts:greekLit:tlg5026.msAil.hmt:11.114	Vector(οὐδε, _διακόπτω)
urn:cts:greekLit:tlg5026.msA.hmt:12.E8	Vector(_ὁ, _ἰθύς1, _εὐθύς1, _φρονέω, προς, _ὁ, lex23406.1_δόκησις, _τις, _τίς, _ὁ, _ἄσιος, _φημί, lex23451.1_δύναμαι, lex17379.1_δέ, _ὁ, _φρονέω, _καί, καθ, εἀυτὸ, _παραλαμβάνω, ἀντι, _τις, _τίς, _ὁ, lex14606.1_βουλεύω)
urn:cts:greekLit:tlg5026.msAint.hmt:18.33	Vector(ουτ, _οὕτως, _οἶδα, lex16845.1_γράφω, lex17379.1_δέ, _καί, ῄδειν, ⁚)
